Name, Price, Link, Img
Realme 6 4/128Gb,4349,https://www.smart.md/realme-6-4128gb-blue.html,https://www.smart.md/image/cache/data/produse/telefoane/Realme/6/realme6arrivamodalitaslomotiona120fps1-335x335.jpg
Samsung Galaxy S20 (G980F) Dual Sim 128GB,15599,https://www.smart.md/smartphone_samsung-galaxy-s20-g980f-dual-sim-128gb-cloud-pink.html,https://www.smart.md/image/cache/data/produse/telefoane/samsung/S20/64071-1-335x335.jpg
iPhone 12 mini 128GB,18999,https://www.smart.md/iphone-12-mini-128gb-blue,https://www.smart.md/image/cache/data/results-photos/smartgsm/iphone_12_mini_blue1_e_glr3-u3-335x335.png
Xiaomi Mi Note 10 Lite Dual Sim 6GB Ram 64GB Pu,5999,https://www.smart.md/smartphone_xiaomi-mi-note-10-lite-dual-sim-6gb-ram-64gb-nebula-purple.html,https://www.smart.md/image/cache/data/produse/telefoane/xiaomi/Mi Note 10 Lite /good_img_d81ec285-9131-11ea-80c8-005056840c70_600-335x335.jpg
Samsung Galaxy Note 20 Dual Sim N980 8/256GB Mystic B,18699,https://www.smart.md/samsung-galaxy-note-20-dual-sim-n980-8256gb-mystic-bronze.html,https://www.smart.md/image/cache/data/Editare/smartphone/Samsung/note 20/samsunggalaxynote20n980dualsim256gbbronzede536x536-335x335.jpg
Apple iPhone 11 64GB,14399,https://www.smart.md/smartphone_apple-iphone-11-64gb-purple.html,https://www.smart.md/image/cache/data/MariaPoze/1/11/877/AppleiPhone1164GBPurple-335x335.jpg
Xiaomi Redmi Note 9S Dual Sim 4GB RAM 64GB Whi,4199,https://www.smart.md/smartphone_xiaomi-redmi-note-9s-dual-sim-4gb-ram-64gb-glacier-white.html,https://www.smart.md/image/cache/data/produse/telefoane/xiaomi/Note 9S /foto2-200331024536-335x335.jpg
Samsung Galaxy A10s (A107),2499,https://www.smart.md/smartphone_samsung-galaxy-a10s-a107-black.html,https://www.smart.md/image/cache/data/produse/telefoane/samsung/galaxy1/samsung_galaxy_a107_blue1-335x335.png
Apple iPhone 11 64GB,14399,https://www.smart.md/smartphone_apple-iphone-11-64gb-yellow.html,https://www.smart.md/image/cache/data/MariaPoze/1/11/877/AppleiPhone1164GBYellow-335x335.jpg
Samsung Galaxy Note 10 Lite N770 Dual Sim 128GB,8899,https://www.smart.md/smartphone_samsung-galaxy-note-10-lite-n770-dual-sim-128gb-black.html,https://www.smart.md/image/cache/data/produse/telefoane/samsung/note10lite/samsung_galaxy_n770_black1-335x335.png
Samsung Galaxy A31 (A315) Dual Sim 4/64Gb,4299,https://www.smart.md/smartphone_samsung-galaxy-a31-a315-dual-sim-464gb-blue.html,https://www.smart.md/image/cache/data/dulapuri-folder/samsung_galaxy_a315_blue1_nvqyux-335x335.png
Samsung Galaxy A31 (A315) Dual Sim 4/128Gb,4489,https://www.smart.md/smartphone_samsung-galaxy-a31-a315-dual-sim-4128gb-white.html,https://www.smart.md/image/cache/data/dulapuri-folder/samsung_galaxy_a315_white1-335x335.png
Samsung Galaxy A10s (A107),2499,https://www.smart.md/smartphone_samsung-galaxy-a10s-a107-blue.html,https://www.smart.md/image/cache/data/produse/telefoane/samsung/galaxy1/samsung_galaxy_a107_blue1-335x335.png
iPhone 12 64GB,19199,https://www.smart.md/iphone-12-64gb-green,https://www.smart.md/image/cache/data/results-photos/smartgsm/iphone_12_green1_e_2-335x335.png
Xiaomi Redmi Note 9 Pro Dual Sim 6GB RAM 64GB,4599,https://www.smart.md/smartphone_xiaomi-redmi-note-9-pro-dual-sim-6gb-ram-64gb-tropical-green.html,https://www.smart.md/image/cache/data/HP-2020/475_1-335x335.png
